call_id,date,exchange,q,ticker,word_count,total_dynamic_capability_keywords,sensing_count,sensing_per_1000_words,seizing_count,seizing_per_1000_words,transforming_count,transforming_per_1000_words,total_dynamic_capability_keywords_per_1000_words,keyword_sense_count,keyword_senses_count,keyword_sensed_count,keyword_sensing_count,keyword_shape_count,keyword_shaped_count,keyword_shaping_count,keyword_seize_count,keyword_seized_count,keyword_seizing_count,keyword_invest_count,keyword_investing_count,keyword_invested_count,keyword_transform_count,keyword_transforming_count,keyword_transformed_count,keyword_reconfigure_count,keyword_reconfigured_count,keyword_reconfiguring_count,keyword_redeployment_count,keyword_redeploy_count,keyword_redeployed_count,keyword_redesign_count,keyword_redesigned_count,keyword_redesigning_count,keyword_revamping_count,keyword_revamped_count,keyword_revamp_count
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,8847,10,1,0.11303266644060134,5,0.5651633322030066,4,0.45213066576240535,1.1303266644060133,1,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
11,2021-08-26 09:00:00,NYSE,2022-Q1,SJM,6408,4,3,0.4681647940074906,1,0.1560549313358302,0,0.0,0.6242197253433208,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2021-11-22 17:15:00,NASDAQ,2022-Q3,URBN,7497,4,2,0.26677337601707346,2,0.26677337601707346,0,0.0,0.5335467520341469,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019-10-30 12:00:00,NYSE,2019-Q3,HESM,3030,1,0,0.0,1,0.33003300330033003,0,0.0,0.33003300330033003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,8254,5,1,0.121153380179307,4,0.484613520717228,0,0.0,0.605766900896535,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,12166,5,0,0.0,4,0.32878513891172123,1,0.08219628472793031,0.4109814236396515,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,2021-02-11 08:30:00,NYSE,2020-Q3,MYOV,9551,3,1,0.10470107842110773,1,0.10470107842110773,1,0.10470107842110773,0.31410323526332323,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2021-02-17 09:00:00,NYSE,2020-Q4,GNW,8323,3,3,0.3604469542232368,0,0.0,0,0.0,0.3604469542232368,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,12060,11,6,0.49751243781094523,5,0.41459369817578773,0,0.0,0.9121061359867331,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2019-11-06 16:30:00,NASDAQ,2019-Q3,DXCM,8950,2,0,0.0,2,0.223463687150838,0,0.0,0.223463687150838,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,10063,5,1,0.09937394415184339,4,0.39749577660737356,0,0.0,0.49686972075921687,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,9308,6,3,0.32230339492909327,3,0.32230339492909327,0,0.0,0.6446067898581865,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,10520,9,7,0.6653992395437263,2,0.19011406844106463,0,0.0,0.8555133079847909,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2021-11-03 16:30:00,NASDAQ,2022-Q1,ARAY,4687,1,1,0.2133560913164071,0,0.0,0,0.0,0.2133560913164071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,9409,9,1,0.10628122010840685,6,0.6376873206504411,2,0.2125624402168137,0.9565309809756616,0,0,0,0,1,0,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,9342,14,3,0.3211303789338471,10,1.070434596446157,1,0.10704345964461572,1.49860843502462,2,0,0,1,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2021-05-20 16:15:00,NASDAQ,2021-Q1,ROST,6818,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,9028,6,3,0.3322995126273815,3,0.3322995126273815,0,0.0,0.664599025254763,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,NYSE,2018-Q4,BC,8813,2,1,0.11346873936230568,1,0.11346873936230568,0,0.0,0.22693747872461137,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,12269,15,2,0.16301247045398973,13,1.0595810579509333,0,0.0,1.222593528404923,1,0,0,0,1,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,10395,5,5,0.48100048100048104,0,0.0,0,0.0,0.48100048100048104,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,7942,10,8,1.007302946361118,2,0.2518257365902795,0,0.0,1.2591286829513977,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,7824,7,0,0.0,7,0.8946830265848671,0,0.0,0.8946830265848671,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2021-02-25 10:30:00,NYSE,2020-Q4,USPH,7556,4,4,0.5293806246691372,0,0.0,0,0.0,0.5293806246691372,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,11680,25,11,0.9417808219178082,13,1.1130136986301369,1,0.08561643835616438,2.1404109589041096,9,0,0,0,2,0,0,0,0,0,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2021-08-04 16:30:00,NASDAQ,2021-Q2,MELI,6587,8,2,0.3036283588887202,6,0.9108850766661606,0,0.0,1.2145134355548808,2,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2021-04-26 17:00:00,NASDAQ,2021-Q1,CDNS,7833,9,2,0.25533001404315075,6,0.7659900421294523,1,0.12766500702157538,1.1489850631941785,0,0,0,0,0,0,2,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2021-05-12 09:00:00,NYSE,2021-Q1,VIV,7510,3,0,0.0,3,0.3994673768308922,0,0.0,0.3994673768308922,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2021-01-28 08:30:00,NASDAQ,2021-Q3,NTCT,6478,3,3,0.4631058968817536,0,0.0,0,0.0,0.4631058968817536,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-08-09 17:00:00,NYSE,2022-Q2,U,9402,6,0,0.0,6,0.6381620931716656,0,0.0,0.6381620931716656,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2021-02-11 10:00:00,NASDAQ,2020-Q4,RUSHA,10809,10,8,0.7401239707651032,2,0.1850309926912758,0,0.0,0.925154963456379,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2021-11-05 09:00:00,NYSE,2021-Q3,DTM,3673,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2021-02-24 08:30:00,NASDAQ,2020-Q4,VCEL,6811,3,3,0.4404639553663192,0,0.0,0,0.0,0.4404639553663192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2021-01-28 17:00:00,NASDAQ,2020-Q4,MSTR,7742,9,1,0.12916559028674762,8,1.033324722293981,0,0.0,1.1624903125807284,1,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2021-05-06 08:00:00,NASDAQ,2021-Q1,MRNA,14578,22,3,0.20578954589106874,17,1.1661407600493896,2,0.13719303059404583,1.509123336534504,3,0,0,0,0,0,0,0,0,0,10,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2021-05-20 08:00:00,NASDAQ,2021-Q1,CSIQ,7974,3,2,0.25081514923501375,1,0.12540757461750687,0,0.0,0.3762227238525207,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2020-04-30 17:00:00,NASDAQ,2020-Q2,AAPL,8281,8,0,0.0,8,0.9660669001328341,0,0.0,0.9660669001328341,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2021-08-04 16:35:00,NASDAQ,2021-Q3,CENT,7205,6,1,0.13879250520471895,5,0.6939625260235947,0,0.0,0.8327550312283137,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2021-10-27 17:00:00,NASDAQ,2021-Q3,BCOV,7395,4,0,0.0,3,0.4056795131845842,1,0.1352265043948614,0.5409060175794456,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,2022-03-08 16:30:00,NASDAQ,2021-Q4,FLNT,5576,6,0,0.0,6,1.0760401721664274,0,0.0,1.0760401721664274,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2021-02-11 08:30:00,NASDAQ,2020-Q4,ACLS,5992,4,3,0.5006675567423231,1,0.16688918558077437,0,0.0,0.6675567423230975,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2021-05-10 11:00:00,NYSE,2021-Q1,GEO,6198,2,1,0.16134236850596967,1,0.16134236850596967,0,0.0,0.32268473701193934,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2021-05-05 09:00:00,NYSE,2021-Q1,DFIN,5711,1,1,0.17510068289266328,0,0.0,0,0.0,0.17510068289266328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2021-05-26 08:00:00,NYSE,2021-Q1,GOTU,4298,1,0,0.0,1,0.23266635644485809,0,0.0,0.23266635644485809,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2021-02-11 09:30:00,NYSE,2020-Q4,MT,9323,8,7,0.7508312774857878,1,0.10726161106939826,0,0.0,0.8580928885551861,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2020-10-29 08:30:00,NYSE,2020-Q3,SHOP,9117,7,3,0.3290556103981573,4,0.4387408138642097,0,0.0,0.767796424262367,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2020-08-20 09:30:00,NYSE,2020-Q4,EL,11524,15,3,0.26032627559875043,12,1.0413051023950017,0,0.0,1.301631377993752,3,0,0,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2021-02-23 12:30:00,NASDAQ,2020-Q4,LGIH,7636,10,4,0.5238344683080147,5,0.6547930853850183,1,0.13095861707700368,1.3095861707700367,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,2021-02-18 17:00:00,NYSE,2020-Q4,EBS,9084,5,1,0.11008366358432409,4,0.44033465433729635,0,0.0,0.5504183179216204,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2021-05-06 08:30:00,NASDAQ,2021-Q1,REGN,9479,2,2,0.2109927207511341,0,0.0,0,0.0,0.2109927207511341,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2021-05-05 10:00:00,NYSE,2021-Q1,EAF,5050,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2021-01-27 17:00:00,NASDAQ,2020-Q4,META,10566,9,6,0.5678591709256104,3,0.2839295854628052,0,0.0,0.8517887563884157,5,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2019-12-04 16:30:00,NYSE,2020-Q2,HRB,6225,2,0,0.0,0,0.0,2,0.321285140562249,0.321285140562249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
63,2020-08-10 11:00:00,NASDAQ,2020-Q2,STRS,2521,2,0,0.0,1,0.3966679888932963,1,0.3966679888932963,0.7933359777865926,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,2021-05-01 12:00:00,NYSE,2021-Q1,TTE,11017,13,3,0.2723064355087592,7,0.6353816828537714,3,0.2723064355087592,1.1799945538712897,3,0,0,0,0,0,0,1,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2021-01-27 09:00:00,NASDAQ,2020-Q4,FCNCA,4807,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2023-02-01 08:30:00,NYSE,2022-Q4,OTIS,8523,5,3,0.3519887363604365,2,0.2346591575736243,0,0.0,0.5866478939340608,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2021-01-26 08:30:00,NYSE,2021-Q1,DHI,11213,3,2,0.17836439846606617,1,0.08918219923303308,0,0.0,0.2675465976990993,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2021-02-12 10:00:00,NASDAQ,2020-Q4,AIMC,8547,8,6,0.702000702000702,2,0.234000234000234,0,0.0,0.936000936000936,3,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2020-05-07 10:00:00,NYSE,2020-Q1,HLT,12300,7,5,0.4065040650406504,2,0.16260162601626016,0,0.0,0.5691056910569106,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2021-10-07 08:30:00,NASDAQ,2022-Q1,TLRY,11181,3,3,0.26831231553528306,0,0.0,0,0.0,0.26831231553528306,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2021-02-03 16:30:00,NASDAQ,2020-Q4,ALGN,11719,21,12,1.0239781551326905,6,0.5119890775663453,3,0.25599453878317263,1.7919617714822083,10,0,0,0,2,0,0,0,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2021-04-29 16:30:00,NASDAQ,2021-Q1,SGEN,9586,5,1,0.1043187982474442,4,0.4172751929897768,0,0.0,0.5215939912372209,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2020-02-04 17:00:00,NYSE,2019-Q4,F,10393,30,1,0.0962186086789185,3,0.2886558260367555,26,2.5016838256518814,2.886558260367555,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
74,2020-08-06 08:30:00,NYSE,2020-Q3,ADNT,9540,3,2,0.20964360587002095,0,0.0,1,0.10482180293501048,0.31446540880503143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2021-04-16 08:00:00,NYSE,2021-Q1,PPG,8350,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2021-05-06 16:30:00,NYSE,2021-Q1,AL,10500,3,3,0.28571428571428575,0,0.0,0,0.0,0.28571428571428575,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2022-11-02 09:30:00,NYSE,2022-Q3,MKL,8027,9,2,0.24915908807773765,7,0.8720568082720818,0,0.0,1.1212158963498193,1,0,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2021-01-21 12:00:00,NASDAQ,2020-Q4,INBK,6333,6,3,0.4737091425864519,2,0.31580609505763463,1,0.15790304752881731,0.9474182851729038,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,2019-10-30 11:00:00,NASDAQ,2019-Q3,AAWW,11426,7,3,0.26255907579205323,2,0.1750393838613688,2,0.1750393838613688,0.6126378435147909,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
80,2021-02-25 16:30:00,NASDAQ,2020-Q4,CARA,5748,1,1,0.17397355601948505,0,0.0,0,0.0,0.17397355601948505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2019-08-07 09:00:00,NASDAQ,2019-Q2,LILAK,4819,2,1,0.20751193193608633,0,0.0,1,0.20751193193608633,0.41502386387217266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2019-11-05 10:30:00,NYSE,2019-Q3,SXC,5204,1,0,0.0,1,0.1921598770176787,0,0.0,0.1921598770176787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2021-07-20 16:30:00,NYSE,2021-Q2,CNI,11703,5,3,0.2563445270443476,2,0.1708963513628984,0,0.0,0.427240878407246,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2021-07-22 09:00:00,NYSE,2021-Q2,BX,8777,9,3,0.34180243819072575,6,0.6836048763814515,0,0.0,1.0254073145721772,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2023-01-09 11:00:00,NYSE,2023-Q1,CMC,8665,6,3,0.3462204270051933,3,0.3462204270051933,0,0.0,0.6924408540103866,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2021-07-22 18:00:00,NASDAQ,2021-Q2,SIVB,7507,9,3,0.39962701478619955,6,0.7992540295723991,0,0.0,1.1988810443585987,2,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2021-02-11 10:00:00,NYSE,2020-Q4,GNRC,13070,3,3,0.22953328232593725,0,0.0,0,0.0,0.22953328232593725,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2021-02-02 07:30:00,NYSE,2021-Q3,BABA,8047,24,1,0.12426991425375916,23,2.8582080278364606,0,0.0,2.98247794209022,1,0,0,0,0,0,0,0,0,0,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2021-03-17 16:30:00,NASDAQ,2020-Q4,CTIC,3400,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2022-08-09 16:30:00,NASDAQ,2022-Q2,OPRX,7804,3,2,0.25627883136852897,1,0.12813941568426448,0,0.0,0.3844182470527935,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2019-07-24 17:00:00,NASDAQ,2020-Q1,XLNX,9199,8,3,0.32612240460919667,5,0.5435373410153277,0,0.0,0.8696597456245244,2,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2020-11-06 09:00:00,NYSE,2021-Q2,MOD,5652,4,3,0.5307855626326964,1,0.17692852087756547,0,0.0,0.7077140835102619,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2020-08-06 09:00:00,NASDAQ,2020-Q2,LAMR,3486,1,1,0.28686173264486514,0,0.0,0,0.0,0.28686173264486514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2021-04-20 09:00:00,NYSE,2021-Q1,TRV,9320,13,5,0.5364806866952789,7,0.7510729613733906,1,0.10729613733905578,1.3948497854077253,5,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,2021-02-17 16:30:00,NASDAQ,2020-Q4,LOPE,8334,9,0,0.0,8,0.9599232061435086,1,0.11999040076793857,1.0799136069114472,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2021-05-12 21:00:00,NYSE,2021-Q1,OCFT,6591,1,1,0.15172204521316945,0,0.0,0,0.0,0.15172204521316945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2021-02-09 17:00:00,NYSE,2020-Q4,AYX,9418,23,6,0.6370779358674877,9,0.9556169038012318,8,0.8494372478233171,2.4421320874920367,5,0,0,0,1,0,0,1,0,0,3,4,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2021-02-12 10:00:00,NYSE,2020-Q4,HUN,10036,2,2,0.19928258270227184,0,0.0,0,0.0,0.19928258270227184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2021-03-02 09:00:00,NYSE,2020-Q4,TGT,21262,37,5,0.23516132066597686,32,1.5050324522622518,0,0.0,1.7401937729282286,3,0,0,0,0,1,1,0,0,0,15,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2022-03-03 05:00:00,NYSE,2021-Q4,SBSW,16913,4,3,0.17737834801631883,1,0.059126116005439606,0,0.0,0.23650446402175843,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2020-08-06 09:30:00,(NYSE,2020-Q2,STNG),11332,2,2,0.17649135192375573,0,0.0,0,0.0,0.17649135192375573,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2019-10-31 11:00:00,NYSE,2019-Q3,WWE,9208,8,2,0.21720243266724587,5,0.5430060816681147,1,0.10860121633362294,0.8688097306689835,1,0,0,0,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
