document id,keyword category,the word found,line/page number,text line
1,seizing,invest,"page 11, line 59",enterprises to commit financing and invest astutely
1,seizing,invest,"page 12, line 7",continuous and interrelated cospecialized invest
1,seizing,invest,"page 12, line 36",Cross-functional activities and associated invest
1,seizing,invest,"page 12, line 50",pronged' strategy: (1) early and large-scale invest
1,transforming,redesigned,"page 12, line 76",'designed' and if necessary 'redesigned' to meet
1,transforming,redesigning,"page 13, line 51",of designing (and redesigning) a business model
1,transforming,reconfigure,"page 13, line 100",ability to reconfigure business models for delivering and pricing
1,sensing,sense,"page 15, line 23","industry asset, in the sense that economies of scale"
1,sensing,shape,"page 15, line 103","shape outcomes. In this regard, the existing asset"
1,sensing,sense,"page 16, line 93","and provide a false sense of security, and sustain"
1,seizing,invest,"page 17, line 26",to say that incumbents need to invest on the same
1,seizing,investing,"page 17, line 31","the new entrants do the prospecting, investing later"
1,sensing,shaped,"page 18, line 21","organization, unless the culture is shaped to accept"
1,transforming,revamp,"page 18, line 27",revamp the organization and create an entirely new
1,transforming,revamping,"page 18, line 64",to require constant revamping if superior perfor
1,transforming,redesign,"page 18, line 99",redesign of routines. This is because the sustained
1,transforming,redeployment,"page 19, line 12","Redeployment and reconfiguration (Capron,"
1,transforming,redesign,"page 19, line 14",business model redesign as well as asset-realign
1,transforming,revamping,"page 19, line 15","ment activities, and the revamping of routines."
1,transforming,redeployment,"page 19, line 16",Redeployment can involve transfer of nontrad
1,transforming,redeployment,"page 19, line 21",bility redeployment takes one of two forms: the
1,seizing,seizing,"page 20, line 38",both seizing and reconfiguration. In environments
1,sensing,sense,"page 21, line 52","not sense the need or the opportunity, and some"
1,seizing,invest,"page 21, line 58",and opportunities to 'invest' in cospecialized
1,seizing,invest,"page 21, line 64",how to invest?whether and when to build or
1,sensing,sensing,"page 22, line 26",literature that explores each type. Also 'sensing'
1,sensing,sensing,"page 23, line 26","team, if they demonstrate weak sensing, seizing,"
1,seizing,seizing,"page 23, line 26","team, if they demonstrate weak sensing, seizing,"
1,transforming,reconfiguring,"page 24, line 27","ing, and reconfiguring?as core elements of"
1,sensing,sensing,"page 24, line 29","set of the processes that support sensing, seiz"
1,sensing,sense,"page 24, line 44","need to sense and seize opportunities, as well as"
1,seizing,seize,"page 24, line 44","need to sense and seize opportunities, as well as"
1,transforming,reconfigure,"page 24, line 45","reconfigure when change occurs, requires the allo"
1,sensing,shaped,"page 24, line 59",that the business enterprise is shaped but not
1,sensing,shape,"page 24, line 62",and other decisions. Enterprises can even shape
1,sensing,sense,"page 24, line 63","their ecosystem. In this sense, the framework"
1,sensing,sensing,"page 24, line 92","The enterprise will need sensing, seizing, and"
1,seizing,seizing,"page 24, line 92","The enterprise will need sensing, seizing, and"
1,transforming,reconfiguring,"page 24, line 93",transformational/reconfiguring capabilities to be
1,sensing,sensing,"page 24, line 100","simultaneously achieve sensing, seizing, and recon"
1,seizing,seizing,"page 24, line 100","simultaneously achieve sensing, seizing, and recon"
1,sensing,sensing,"page 26, line 5",mental?sensing and seizing?are related to but
1,seizing,seizing,"page 26, line 5",mental?sensing and seizing?are related to but
1,sensing,sensing,"page 26, line 18","With respect to competition for resources, sensing"
1,seizing,seizing,"page 26, line 20","of resources, at least not relative to seizing. Cer"
1,sensing,sensing,"page 26, line 34",unit) specializing to some degree on sensing as
1,seizing,seizing,"page 26, line 35","compared to seizing. As Gupta, Smith, and Shal"
1,seizing,seizing,"page 26, line 40",other aspects of seizing reconciles the issues even
1,seizing,seizing,"page 26, line 52","planning will be a part of seizing, but less so of"
1,sensing,sensing,"page 26, line 53",sensing.
1,transforming,reconfigure,"page 26, line 55",age competitor threats and to reconfigure itself
1,sensing,sense,"page 26, line 57",is in turn dependent on its ability to sense an
1,sensing,sense,"page 26, line 66","ring,28 be Pr(n|E). Then: Pr(Fi|E = Pr(sense|E) x"
1,sensing,sense,"page 26, line 67","Pr (seize | E, sense) x Pr (manage threats/transform"
1,seizing,seize,"page 26, line 67","Pr (seize | E, sense) x Pr (manage threats/transform"
1,transforming,transform,"page 26, line 67","Pr (seize | E, sense) x Pr (manage threats/transform"
1,sensing,sense,"page 26, line 68","|E, sense, seize) x Pr((I""I|E), sense, seize,"
1,seizing,seize,"page 26, line 68","|E, sense, seize) x Pr((I""I|E), sense, seize,"
1,transforming,transform,"page 26, line 69",manage threats/transform).
1,sensing,sensing,"page 26, line 86","enterprises must employ sensing, seizing, and"
1,seizing,seizing,"page 26, line 86","enterprises must employ sensing, seizing, and"
1,transforming,reconfiguring,"page 26, line 87",reconfiguring mechanism to direct their financial
1,sensing,sensing,"page 27, line 47","disaggregated into sensing, seizing, and transfor"
1,seizing,seizing,"page 27, line 47","disaggregated into sensing, seizing, and transfor"
1,sensing,sense,"page 27, line 67","ability to sense and then seize opportunities, nav"
1,seizing,seize,"page 27, line 67","ability to sense and then seize opportunities, nav"
1,transforming,reconfigure,"page 27, line 68","igate threats, and combine and reconfigure spe"
1,sensing,shape,"page 27, line 90",they help shape competition and marketplace out
1,sensing,sense,"page 28, line 63","needed to sense opportunities, execute plans, and"
1,transforming,reconfigure,"page 28, line 64",configure and reconfigure assets and systems as
1,sensing,sensing,"page 28, line 83",formance of the enterprise through sensing future
1,seizing,invest,"page 28, line 84","needs, making quality, timely, and unbiased invest"
1,sensing,sense,"page 28, line 102","that the enterprise is technically fit, in the sense"
1,sensing,sense,"page 29, line 2",on to sense new business opportunities. Nor are
1,sensing,sense,"page 29, line 64",prise. Entrepreneurial managers can sense and
1,sensing,shape,"page 29, line 65","even help shape the future, unshackle the enter"
1,transforming,transforming,"page 29, line 69","enhancing asset combinations, and transforming"
1,sensing,sensing,"page 29, line 81","about sensing and understanding opportunities,"
1,sensing,sensing,"page 29, line 86","for nonroutine activities, and sensing business"
1,sensing,sensing,"page 29, line 89",about sensing and seizing?figuring out the next
1,seizing,seizing,"page 29, line 89",about sensing and seizing?figuring out the next
1,sensing,shaping,"page 30, line 12","manager in external activities, including shaping"
1,sensing,sense,"page 30, line 17",skills needed to sense are quite different from those
1,seizing,seize,"page 30, line 18",needed to seize and those needed to reconfigure.
1,transforming,reconfigure,"page 30, line 18",needed to seize and those needed to reconfigure.
1,sensing,sensed,"page 30, line 38","to ensure that opportunities, once sensed, can be"
1,seizing,seized,"page 30, line 39",seized; and how the business can be reconfigured
1,transforming,reconfigured,"page 30, line 39",seized; and how the business can be reconfigured
1,sensing,sense,"page 30, line 41","is transformed once again. In this sense, dynamic"
1,transforming,transformed,"page 30, line 41","is transformed once again. In this sense, dynamic"
1,sensing,shaped,"page 30, line 69",undoubtedly shaped my thinking on strategy and
1,transforming,transform,"page 31, line 59","and Transform Industries. MIT Press: Cambridge,"
1,sensing,shape,"page 32, line 87",Porter M. 1991. How competitive forces shape strategy.
2,sensing,shaped,"page 2, line 12","coordinating and combining), shaped by the firm's (specific) asset positions (such as the firm's"
2,seizing,invest,"page 3, line 23",their rivals off balance through strategic invest -
2,sensing,sense,"page 5, line 41",sense that multiperiod analyses can be pursued
2,sensing,sense,"page 5, line 44","sense, referring to situations where there is rapid"
2,sensing,senses,"page 5, line 52",different senses.
2,transforming,redeploy,"page 5, line 60",deploy and redeploy their competitive assets. Put
2,sensing,sense,"page 6, line 44","0 When closely matched in an aggregate sense, they may"
2,transforming,redeploy,"page 8, line 20",capability to effectively coordinate and redeploy
2,transforming,reconfiguring,"page 8, line 39","ately adapting, integrating, and reconfiguring"
2,seizing,invest,"page 8, line 49",about how much to spend (invest) on different
2,transforming,reconfigure,"page 9, line 54","ability to integrate, build, and reconfigure internal"
2,sensing,sense,"page 10, line 96","in the fact of contractual hazards. In this sense, we are"
2,sensing,shaped,"page 11, line 17",any point in time are shaped significantly by the
2,sensing,shaped,"page 11, line 21",shaped by the firm's asset positions and molded
2,sensing,shaped,"page 11, line 28","and organizational processes, shaped by its"
2,transforming,transformed,"page 12, line 58",has now transformed the Taylor or Ford model
2,sensing,shape,"page 12, line 90",shape machine layout that facilitates flexible and multiple
2,sensing,sense,"page 13, line 86",in the ability to sense the need to reconfigure
2,transforming,reconfigure,"page 13, line 86",in the ability to sense the need to reconfigure
2,transforming,transform,"page 14, line 6",figure and transform is itself a learned organiza -
2,sensing,shape,"page 14, line 74",good deal of information about firms and shape
2,sensing,sense,"page 14, line 89",the sense that external actors must respond to
2,sensing,shaped,"page 15, line 46",capabilities and shaped by positions and paths.
2,sensing,shaped,"page 15, line 69",ahead. Its current position is often shaped by
2,sensing,shaped,"page 16, line 35",technologies is shaped by increasing returns.
2,sensing,shaped,"page 17, line 31",turn shaped by the firm's assets (positions) and its
2,transforming,reconfigure,"page 17, line 40",but also by the firm's ability to reconfigure and
2,transforming,transform,"page 17, line 41",transform.
2,transforming,transformed,"page 17, line 70","tions can be transformed. Furthermore, the"
2,sensing,shaped,"page 17, line 82","of a firm rest fundamentally on processes, shaped"
2,sensing,shape,"page 18, line 55",attributable to local or regional forces that shape
2,sensing,shaping,"page 18, line 59",and institutions play an important role in shaping
2,sensing,shaped,"page 21, line 22","firm,' shaped by processes and positions. Path"
2,transforming,redeployed,"page 22, line 86",these assets can be deployed and redeployed in
2,sensing,shape,"page 23, line 106","right game: Use game theory to shape strategy',"
2,seizing,seized,"page 25, line 2",Opportunities seized and missed in the history of
3,sensing,shape,"page 2, line 55","ing,"" the firm's resources to address and shape"
3,sensing,shape,"page 3, line 38",shape competitive advantage at the level of the
3,sensing,shape,"page 4, line 47","actually help shape the environment, too."
3,sensing,sense,"page 6, line 8","Tripartite schema Operate, administrate, and govern Sense, seize, and transform"
3,seizing,seize,"page 6, line 8","Tripartite schema Operate, administrate, and govern Sense, seize, and transform"
3,transforming,transform,"page 6, line 8","Tripartite schema Operate, administrate, and govern Sense, seize, and transform"
3,transforming,reconfiguring,"page 6, line 42","boundaries, reconfiguring them as needed to inno -"
3,sensing,sensing,"page 6, line 69",ties in relationship to customer needs (sensing); (2)
3,seizing,seizing,"page 6, line 72",(seizing); and (3) continued renewal (transforming).
3,transforming,transforming,"page 6, line 72",(seizing); and (3) continued renewal (transforming).
3,seizing,seizing,"page 6, line 74","ing, seizing, and transforming is essential if the"
3,transforming,transforming,"page 6, line 74","ing, seizing, and transforming is essential if the"
3,sensing,shape,"page 7, line 24",Managerial decisions help create and shape ca-
3,seizing,seizing,"page 7, line 52",underpinning for seizing and transforming.
3,transforming,transforming,"page 7, line 52",underpinning for seizing and transforming.
3,sensing,shape,"page 8, line 11",enterprise performance. They shape and are under -
3,sensing,sense,"page 8, line 35","namic capabilities to sense, seize, and transform in"
3,seizing,seize,"page 8, line 35","namic capabilities to sense, seize, and transform in"
3,transforming,transform,"page 8, line 35","namic capabilities to sense, seize, and transform in"
3,transforming,transforming,"page 9, line 71","The ""transforming"" aspect of dynamic capabili -"
3,transforming,reconfigured,"page 9, line 80",be constantly managed (and reconfigured as neces-
3,sensing,sensing,"page 13, line 10","human action involves sensing, creating and co-"
3,seizing,seizing,"page 13, line 11","creating, seizing, and transforming."
3,transforming,transforming,"page 13, line 11","creating, seizing, and transforming."
3,sensing,sensing,"page 13, line 50",sensing and seizing instincts and actions of the
3,seizing,seizing,"page 13, line 50",sensing and seizing instincts and actions of the
3,seizing,invest,"page 14, line 73",advantage flows from heavy endowment or invest -
3,transforming,redeployment,"page 15, line 25",source/asset redeployment).
3,sensing,sensing,"page 15, line 43","pabilities: sensing, seizing, and transforming."
3,seizing,seizing,"page 15, line 43","pabilities: sensing, seizing, and transforming."
3,transforming,transforming,"page 15, line 43","pabilities: sensing, seizing, and transforming."
3,sensing,sensing,"page 15, line 44","Sensing contains a strong element of diagnosis,"
3,seizing,seizing,"page 15, line 45",which is important to strategy. Seizing needs to
3,transforming,transforming,"page 15, line 47",ent action. Transforming that protects and en-
3,sensing,sensing,"page 15, line 89",Related dynamic capabilities schema Sensing Seizing/transformation Seizing/transformation
3,seizing,seizing,"page 15, line 89",Related dynamic capabilities schema Sensing Seizing/transformation Seizing/transformation
3,seizing,investing,"page 17, line 91",22 Multinational enterprises investing in less-devel -
3,sensing,sense,"page 20, line 85","tion, sense opportunities, invest in capabilities, in-"
3,seizing,invest,"page 20, line 85","tion, sense opportunities, invest in capabilities, in-"
3,transforming,transform,"page 20, line 86","novate, and transform. They become the instru -"
3,sensing,shaping,"page 25, line 11",from innovation: Shaping intellectual property and
4,sensing,shaping,"page 5, line 67","ment in shaping markets, in ﬂuencing trends, shap-"
4,seizing,investing,"page 5, line 75","launched successfully. By investing in complements,"
4,transforming,redeploy,"page 8, line 18",redeploy the nontradable assets and resources at its
4,sensing,sense,"page 8, line 29",the sense referred to here.
4,sensing,shape,"page 8, line 82",remainder of the paper. The goal is to help shape a
4,sensing,shaping,"page 9, line 45",this to also embrace what I refer to as “shaping the
4,sensing,sensing,"page 9, line 51","focus organized around sensing, seizing, and trans-"
4,seizing,seizing,"page 9, line 51","focus organized around sensing, seizing, and trans-"
4,sensing,shape,"page 9, line 73","changing environments, and also to shape the (busi-"
4,sensing,sense,"page 10, line 27","may have to be created, in the sense that new"
4,seizing,invest,"page 10, line 49",thus inaccessible. The decision to invest depends on
4,sensing,sensing,"page 10, line 50",sensing an opportunity and also on sensing how
4,sensing,shaped,"page 10, line 83","shaped by the legacy of the past, it also shapes the"
4,sensing,sense,"page 11, line 4","ﬁrms to sense, seize, and transform in conjunction"
4,seizing,seize,"page 11, line 4","ﬁrms to sense, seize, and transform in conjunction"
4,transforming,transform,"page 11, line 4","ﬁrms to sense, seize, and transform in conjunction"
4,sensing,sensing,"page 11, line 13",home and abroad ( sensing);
4,seizing,seizing,"page 11, line 16",so (seizing); and
4,transforming,transforming,"page 11, line 17",(3) continued renewal ( transforming).
4,seizing,seizing,"page 11, line 32",important to strategy; seizing needs to be connected
4,transforming,transforming,"page 11, line 34",transforming that is value protecting and enhancing
4,sensing,sense,"page 11, line 39",ability to be prescient and sense opportunities and
4,sensing,sensing,"page 11, line 97",Related dynamic capabilities clusters Sensing Seizing/Transformation Seizing/Transformation
4,seizing,seizing,"page 11, line 97",Related dynamic capabilities clusters Sensing Seizing/Transformation Seizing/Transformation
4,sensing,sense,"page 12, line 9","in a sense, does precisely that."
4,seizing,investing,"page 12, line 82","Notably, MNEs investing abroad “appear to adopt"
4,sensing,sense,"page 14, line 60","ability to sense new opportunities and threats, sup-"
4,sensing,shape,"page 14, line 66","tune with the market, and even shape the market if"
4,sensing,sense,"page 15, line 21","sense, shape, and exploit opportunities. A theory of"
4,sensing,shape,"page 15, line 21","sense, shape, and exploit opportunities. A theory of"
4,transforming,transform,"page 15, line 60",transform internalization theory into an entrepre-
4,sensing,sensing,"page 15, line 67","Sensing, Seizing,"
4,seizing,seizing,"page 15, line 67","Sensing, Seizing,"
4,transforming,transforming,"page 15, line 68",Transforming)
4,sensing,shape,"page 16, line 69",meet (and shape) ever-changing markets. Dynamic
4,sensing,sensing,"page 16, line 90","needed to effectuate high-performance sensing, seiz-"
4,transforming,transforming,"page 16, line 91","ing, and transforming. Strong dynamic capabilities"
4,seizing,invest,"page 17, line 69",implies that MNEs will invest abroad to augment
4,sensing,shape,"page 17, line 88","for instance, shape ﬁrm experiences, knowledge, and"
4,seizing,invest,"page 17, line 103",to all that choose to invest in a particular host
4,seizing,invest,"page 18, line 71","sions to invest in these countries: that is, capabilities"
4,transforming,redeployed,"page 18, line 72",can be redeployed within regions more readily than
4,sensing,sensing,"page 18, line 83","they do sensing, seizing, and, ultimately, transform-"
4,seizing,seizing,"page 18, line 83","they do sensing, seizing, and, ultimately, transform-"
4,transforming,transform,"page 18, line 83","they do sensing, seizing, and, ultimately, transform-"
4,seizing,invest,"page 20, line 21",MNE. The foreign subsidiary can invest in co-specia-
4,sensing,shaped,"page 22, line 19","need to be shaped, and markets need to be “created”."
4,transforming,revamped,"page 22, line 75","a revamped internalization school, allowing a more"
4,sensing,shaped,"page 23, line 28",growth that shaped options and outcomes … Wilkins
4,sensing,sense,"page 25, line 61",38Ordinary in the sense of maintaining the status
5,sensing,shape,"page 3, line 74",expertise to make the choices that shape the
5,transforming,redeployment,"page 5, line 50",and the strategic redeployment of assets across
5,sensing,shaped,"page 7, line 19",Evolution Unique path Unique path shaped by learning
5,sensing,sense,"page 8, line 41","possibilities, help provide sense making about the"
5,sensing,sense,"page 8, line 100",managers a sense of conﬁdence to act quickly.
5,sensing,sense,"page 11, line 31",internal generation of a sense of failure (which
5,transforming,transform,"page 11, line 40",leading to an inability to transform experience
5,sensing,shaped,"page 11, line 47",shaped relationship with acquisition performance.
5,sensing,shaped,"page 13, line 24",shaped by well-known learning mechanisms.
5,sensing,sense,"page 13, line 97","In these situations, it makes sense for managers"
5,sensing,sense,"page 14, line 25","frequently, in dynamic markets, it makes sense"
5,sensing,sense,"page 14, line 32",strategic logics makes sense in dynamic markets.
5,transforming,redeployment,"page 15, line 65",redeployment following horizontal acquisitions in
5,sensing,shape,"page 17, line 8",Porter ME. 1979. How competitive forces shape strat-
5,sensing,sense,"page 17, line 90",Wetlaufer S. 2000. Common sense and conﬂict: an
6,sensing,shape,"page 4, line 29",shape the CLC in greater detail.
6,transforming,redeployment,"page 4, line 64","tion, redeployment,a n d recombination. These six"
6,sensing,shape,"page 7, line 86",Figure 1 depicts the shape of the capability
6,sensing,shape,"page 8, line 3",exact shape of the curve might differ from this.
6,sensing,shape,"page 8, line 4","For example, the curve might take the shape of"
6,sensing,shape,"page 8, line 7",empirical evidence regarding the exact shape of the
6,sensing,shape,"page 9, line 38",situation. The exact shape and placement of these
6,transforming,redeployment,"page 9, line 43","replication, redeployment, and recombination."
6,transforming,redeployment,"page 9, line 48","renewal, redeployment, and recombination bran-"
6,sensing,sense,"page 9, line 51",mance of an activity must qualify as a capability in the sense
6,transforming,redeployment,"page 9, line 62","Redeployment,"
6,transforming,redeployment,"page 9, line 81",redeployment (and often recombination) involve
6,sensing,sense,"page 10, line 23",does not make economic sense unless the bene-
6,transforming,redeployment,"page 10, line 26",redeployment. To return to the example of restric-
6,transforming,redeploy,"page 10, line 45",to redeploy its capability to a different product-
6,transforming,redeployment,"page 10, line 48","service, redeployment involves a market for a dif-"
6,transforming,redeployment,"page 10, line 61",development stage as part of redeployment.
6,transforming,redeployment,"page 10, line 62",Capability redeployment may take one of two
6,transforming,redeployment,"page 10, line 71",itable oil industry. A second form of redeployment
6,transforming,redeployment,"page 10, line 102",or redeployment. The main point is that both sorts of branches
6,transforming,redeployment,"page 11, line 4","In Figure 2, recombination or redeployment of a"
6,transforming,redeployment,"page 11, line 16",poral redeployment in response to market oppor-
6,transforming,redeployment,"page 11, line 22","In addition to redeployment, ﬁrms may use"
6,transforming,redeploy,"page 11, line 39",search for additional markets in which to redeploy
6,transforming,redeploy,"page 11, line 43",to replicate or redeploy or recombine an exist-
6,transforming,redeploy,"page 11, line 62",become available. A ﬁrm also may redeploy an
6,transforming,redeploy,"page 11, line 67",fuels because it allowed them to redeploy an R&D
6,transforming,redeploy,"page 11, line 89",2001). Acquiring companies frequently redeploy
6,transforming,redeployment,"page 11, line 93","gration may smooth the replication, redeployment,"
6,transforming,redeployment,"page 11, line 98",additional markets. Such ‘redeployment capabili-
6,transforming,redeployment,"page 11, line 99",ties’ can make the redeployment branching pro-
6,transforming,redeployment,"page 12, line 2",capabilities upon which the redeployment capabil-
6,transforming,redeployment,"page 12, line 7","bility (e.g., a redeployment capability) may act"
6,transforming,transform,"page 12, line 10",erally cannot act upon itself to transform itself.
6,transforming,redeploy,"page 12, line 26",A ﬁrm also may redeploy or recombine a capa-
6,transforming,redeploy,"page 12, line 30","renew and then redeploy, recombine, or repli-"
6,transforming,redeployment,"page 12, line 31",cate a capability. Redeployment may also follow
6,transforming,redeployment,"page 12, line 40",market and redeployment in a different product
6,transforming,redeployment,"page 12, line 42","Three of the branches—renewal, redeployment,"
6,transforming,redeployment,"page 12, line 46","different renewal, redeployment, and recombina-"
6,transforming,transform,"page 12, line 57","to transform, the capabilities of the acquired ﬁrm"
6,transforming,redeployment,"page 12, line 79",into another via capability redeployment or recom-
6,transforming,redeploy,"page 13, line 71","Capron L, Mitchell W. 1998. Bilateral resource redeploy-"
