call_id,date,exchange,q,ticker,capability,segment_id,window_start,window_end,matched_terms,segment_text
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,6,2662,2671,sense,trying to get a sense of how you think
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,7,3034,3043,sense,could give us a sense if the amount of
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,8,3068,3077,sense,trying to get a sense of how big that
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,9,4012,4021,sense,could i get a sense of what your price
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,10,4210,4219,sense,could give us a sense of what price what
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,11,4331,4340,sense,trying to get a sense of what percent of
4,2019-08-07 08:30:00,NASDAQ,2019-Q2,CSTE,sensing,12,4372,4381,sense,a partner that makes sense strategically given all the
5,2020-11-04 17:00:00,NYSE,2020-Q3,GDOT,sensing,1,5174,5183,sense,makes a ton of sense my follow up is
5,2020-11-04 17:00:00,NYSE,2020-Q3,GDOT,seizing,1,2483,2492,invest,should be needed to invest in strategic initiatives now
5,2020-11-04 17:00:00,NYSE,2020-Q3,GDOT,seizing,2,3551,3560,invest,see being able to invest in a company like
6,2020-08-05 08:30:00,NYSE,2020-Q2,KAR,sensing,1,3901,3910,sense,think there is some sense of maybe some of
6,2020-08-05 08:30:00,NYSE,2020-Q2,KAR,sensing,2,8237,8246,sense,trying to get a sense of how july looked
6,2020-08-05 08:30:00,NYSE,2020-Q2,KAR,seizing,1,10214,10223,invested,business bret that we invested in and quite frankly
7,2021-03-24 11:00:00,NYSE,2021-Q2,EPAC,sensing,1,4017,4026,sense,vaccines is creating our sense of optimism moving over
7,2021-03-24 11:00:00,NYSE,2021-Q2,EPAC,sensing,2,6460,6469,sense,trying to get a sense of how much pricing
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,1,4216,4225,sense,helpful does that make sense tim mulrooney william blair
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,2,4919,4928,sense,guiding does that makes sense sean eastman keybanc capital
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,3,5602,5611,sense,basis which would make sense for them as well
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,4,5617,5626,sense,inc analyst that makes sense but as we sit
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,5,5765,5774,sense,and effort so my sense is that kind of
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,6,5927,5936,sense,yet does that make sense andrew wittmann robert w
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,7,5942,5951,sense,makes a lot of sense and just on technical
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,sensing,8,6472,6481,sense,kind of get a sense of what that line
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,1,453,462,invest,while we continue to invest to support future growth
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,2,1221,1230,invested,support future growth we invested in information technology initiatives
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,3,1235,1244,investing,fiscal and we anticipate investing further during the second
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,4,2820,2829,investing,adding additional growth by investing organically while pursuing potential
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,5,6544,6553,invest,we re continuing to invest in both our talent
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,6,9142,9151,invest,to be looking to invest in both organic as
8,2021-06-09 08:30:00,NYSE,2021-Q2,ABM,seizing,7,9357,9366,invest,spot to continue to invest in and accelerate the
9,2022-08-11 08:30:00,NYSE,2022-Q2,SGHC,seizing,1,1071,1080,investing,considering various opportunities including investing in brand and other
9,2022-08-11 08:30:00,NYSE,2022-Q2,SGHC,seizing,2,2406,2415,investing,because our focus on investing remains for the long
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,sensing,1,4948,4957,sense,trying to get a sense of what s more
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,seizing,1,466,478,"invest, investing",ivy approach to active investing where we invest based on fundamentals business
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,seizing,2,2114,2123,investing,commitment to finding and investing in companies with differentiated
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,seizing,3,3083,3092,invest,long term view and invest in the areas we
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,seizing,4,8654,8663,invest,and our ability to invest in continuing to build
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,transforming,1,2633,2642,transforming,quarter end our progress transforming the wealth management business
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,transforming,2,3021,3030,redeployed,higher million as we redeployed travel and entertainment savings
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,transforming,3,3632,3641,transformed,we ve kind of transformed the business model along
10,2020-07-28 10:00:00,NYSE,2020-Q2,WDR,transforming,4,3811,3820,transforming,made significant progress in transforming the business model within
11,2021-08-26 09:00:00,NYSE,2022-Q1,SJM,sensing,1,3653,3662,sense,to give you a sense and then i would
11,2021-08-26 09:00:00,NYSE,2022-Q1,SJM,sensing,2,4034,4043,sense,should give you a sense of timing as well
11,2021-08-26 09:00:00,NYSE,2022-Q1,SJM,sensing,3,5842,5851,sense,thanks is there any sense for the magnitude of
11,2021-08-26 09:00:00,NYSE,2022-Q1,SJM,seizing,1,6268,6277,invest,able to continue to invest in our business to
12,2021-11-22 17:15:00,NASDAQ,2022-Q3,URBN,sensing,1,6014,6023,sense,shoes in stores and sense to take that to
12,2021-11-22 17:15:00,NASDAQ,2022-Q3,URBN,sensing,2,7042,7051,sense,it gives you a sense there was a pretty
12,2021-11-22 17:15:00,NASDAQ,2022-Q3,URBN,seizing,1,2502,2511,invested,past few years has invested in infrastructure delivery capabilities
12,2021-11-22 17:15:00,NASDAQ,2022-Q3,URBN,seizing,2,2586,2595,investing,new customer acquisition by investing more in both digital
13,2019-10-30 12:00:00,NYSE,2019-Q3,HESM,seizing,1,2886,2895,invested,speaking has been under invested in water services so
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,sensing,1,1597,1606,shape,engage clinicians to help shape the features of the
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,seizing,1,534,543,investing,further we believe in investing in and building for
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,seizing,2,4705,4714,investing,our quarterly dividend while investing in our future focused
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,seizing,3,4939,4948,invest,not doing anything to invest and create future value
14,2020-07-30 10:00:00,NASDAQ,2020-Q2,SPOK,seizing,4,6636,6645,investing,lot of people are investing because they think in
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,seizing,1,1044,1053,invested,year our capex is invested in anticipation of the
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,seizing,2,4602,4611,invest,think the capex we invest for the future growth
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,seizing,3,4847,4856,invest,capex we need to invest jeff su director of
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,seizing,4,9154,9163,invest,financial officer rick we invest this year actually for
15,2021-01-14 01:00:00,NYSE,2020-Q4,TSM,transforming,1,9326,9335,redesign,or it needs to redesign the chip based on
16,2021-02-11 08:30:00,NYSE,2020-Q3,MYOV,sensing,1,8028,8037,sense,think to get a sense of the trajectory that
16,2021-02-11 08:30:00,NYSE,2020-Q3,MYOV,seizing,1,1153,1162,invest,now enable us to invest in our pipeline beyond
16,2021-02-11 08:30:00,NYSE,2020-Q3,MYOV,transforming,1,308,317,transform,milestones that have helped transform us into a commercial
17,2021-02-17 09:00:00,NYSE,2020-Q4,GNW,sensing,1,5491,5500,shape,we re in good shape on the in terms
17,2021-02-17 09:00:00,NYSE,2020-Q4,GNW,sensing,2,5588,5597,shape,re in pretty good shape dan i wanted to
17,2021-02-17 09:00:00,NYSE,2020-Q4,GNW,sensing,3,5996,6005,sense,little bit of a sense on this the competitive
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,1,4455,4464,sense,pressures i think my sense is we re in
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,2,7966,7975,sense,is there s this sense that it s all
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,3,8139,8148,sense,revenue growth in the sense that it s these
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,4,8610,8619,sense,citi analyst that makes sense and mark read and
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,5,9488,9497,sense,are specifics in the sense that everyone is trading
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,sensing,6,11129,11138,sense,of give us a sense of when decisions might
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,seizing,1,636,653,"invest, investing",clients we continue to invest in xaxis and finecast where we re investing in technology innovation and
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,seizing,2,2190,2199,invest,is we continue to invest in the company to
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,seizing,3,2928,2937,invest,protect their budgets to invest in media and you
18,2022-04-27 04:30:00,NYSE,2022-Q1,WPP,seizing,4,5793,5802,invest,in the business to invest in our future growth
19,2019-11-06 16:30:00,NASDAQ,2019-Q3,DXCM,seizing,1,1078,1087,investing,insulin business we are investing in our new markets
19,2019-11-06 16:30:00,NASDAQ,2019-Q3,DXCM,seizing,2,2085,2094,invest,have flexibility as we invest to lengthen our growth
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,sensing,1,4489,4498,sense,to get a better sense for second half visibility
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,seizing,1,2885,2894,invest,as we continue to invest in our business despite
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,seizing,2,8556,8565,investing,productivity so that means investing in bim prefab digital
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,seizing,3,9339,9348,invest,to do acquisitions we invest organically because we want
20,2019-07-30 10:30:00,NYSE,2019-Q2,EME,seizing,4,9351,9360,invest,we just don t invest organically because it s
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,sensing,1,1826,1835,sense,we think it makes sense to have them including
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,sensing,2,5352,5361,sense,performance in if you sense that this excitement is
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,sensing,3,7971,7980,sense,company llc analyst makes sense okay and then just
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,seizing,1,2664,2673,invested,of years we ve invested a lot of time
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,seizing,2,4245,4254,invest,confidence that we could invest in important growth elements
21,2021-02-10 09:00:00,NASDAQ,2020-Q4,EEFT,seizing,3,5278,5287,invest,sheet to grow and invest in our business and
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,1,981,990,sense,it gives you a sense of the user centricity
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,2,2539,2553,sense,it s about a sense of dignity and a sense of purpose we seek
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,3,6022,6031,sense,well at the broader sense i can tell you
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,4,7523,7532,sense,you give us a sense of some of the
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,5,7554,7563,sense,trying to get a sense for any increase you
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,sensing,6,9259,9268,sense,in some sort of sense of normalcy whether its
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,seizing,1,2901,2910,invest,year we continued to invest across our organization and
22,2021-03-16 16:30:00,NASDAQ,2021-Q4,COUP,seizing,2,9164,9173,invest,going to continue to invest in but we think
23,2021-11-03 16:30:00,NASDAQ,2022-Q1,ARAY,sensing,1,3667,3676,sense,wanted to get a sense of the baseline and
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,sensing,1,2897,2906,shape,past are quickly taking shape our walgreens advertising group
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,1,3317,3326,investing,at the same time investing in our future i
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,2,5445,5454,invested,year basis that we invested in sg a just
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,3,7491,7500,invest,we ll continue to invest but you will see
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,4,7523,7532,investing,we re doing and investing in digital and so
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,5,7743,7752,invested,that we ve already invested in the rx renewal
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,seizing,6,8655,8664,invested,million vaccinations and we invested significant dollars to get
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,transforming,1,582,591,transform,to accelerate digital to transform and restructure our retail
24,2021-07-01 08:30:00,NASDAQ,2021-Q3,WBA,transforming,2,2514,2523,transforming,to make progress in transforming our pharmacy business and
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,sensing,1,1546,1555,sense,solutions with an increased sense of urgency due to
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,sensing,2,2708,2717,sense,analyst okay that makes sense and then i think
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,sensing,3,8976,8985,sensing,is a very exciting sensing and data acquisition technology
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,1,456,465,invest,time we continued to invest in initiatives to drive
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,2,945,954,invest,up their plans to invest in digital transformation this
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,3,1496,1505,invest,we also continue to invest to accelerate the go
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,4,1539,1548,investing,demand economy enterprises are investing in zebra solutions with
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,5,3607,3616,investing,of the larger customers investing in e commerce and
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,6,5746,5755,invested,made more who have invested earlier in those digitization
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,7,8009,8018,invest,expect to continue to invest in and grow opex
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,8,8203,8212,invest,attack of continuing to invest in new solutions and
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,9,8296,8305,invest,something that companies will invest in for several years
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,seizing,10,9100,9109,invest,area for us to invest we acquired a company
25,2021-05-04 08:30:00,NASDAQ,2021-Q1,ZBRA,transforming,1,1314,1323,transform,complex operational challenges and transform their frontline workflows to
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,sensing,1,1870,1879,shape,is only just taking shape many parts of the
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,sensing,2,1947,1956,shape,position is in excellent shape and our bench of
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,sensing,3,4633,4642,sense,base and then any sense of how much sales
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,seizing,1,1695,1704,invest,mall while continuing to invest in our community and
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,seizing,2,2794,2803,invest,we also continue to invest in growing our membership
27,2021-05-21 09:00:00,NYSE,2021-Q1,FL,seizing,3,4100,4109,invested,up in q we invested approximately million into our
28,,NYSE,2018-Q4,BC,sensing,1,3541,3550,sense,want to get a sense of first are my
28,,NYSE,2018-Q4,BC,seizing,1,2614,2623,invest,we will continue to invest in growth with capital
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,sensing,1,8805,8814,sense,trying to get a sense for the scale of
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,sensing,2,11160,11169,shape,additional expansion would take shape outside those two facilities
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,1,570,579,invest,vision fund designed to invest in minority owned businesses
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,2,1420,1429,invest,corona originals we will invest in national media spending
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,3,2009,2018,invest,limonada we plan to invest approximately million across all
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,4,2638,2647,invest,have developed plans to invest in the next incremental
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,5,3698,3707,invest,we ll continue to invest in dtc and e
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,6,4160,4169,invest,we will continue to invest aggressively to accelerate growth
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,7,6323,6332,invest,is essential that we invest appropriately in order to
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,8,10251,10268,"invest, investing",have the flexibility to invest in our business as we talked about investing significantly in mexico to
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,9,10363,10372,invest,money in share repurchases invest behind the brands maintain
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,10,10935,10944,investing,that we were already investing against that capability and
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,11,11030,11039,invested,and we ve also invested in that area you
29,2021-04-08 11:30:00,NYSE,2021-Q4,STZ,seizing,12,12058,12067,investing,the position to continue investing in mexico and enhancing
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,sensing,1,1000,1009,sense,and made far more sense for them to join
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,sensing,2,1019,1028,sense,me give you a sense of how that s
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,sensing,3,4185,4194,sense,of sitewide licenses make sense and i think that
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,sensing,4,5039,5048,sense,just a ton of sense for us to do
30,2022-05-05 17:00:00,NYSE,2022-Q1,NET,sensing,5,5277,5286,sense,makes a ton of sense for us to have
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,1,2863,2872,sense,of give us a sense of what you could
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,2,3037,3046,sense,would make the most sense eric wold b riley
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,3,5257,5266,sense,to give us a sense of how positive we
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,4,5309,5318,sense,just give us a sense maybe of how up
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,5,5980,5989,sense,wedbush securities analyst makes sense and then you touched
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,6,7419,7428,sense,related to good business sense but also just where
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,7,7464,7473,sense,sure yes that makes sense and then last question
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,sensing,8,7682,7691,sense,come up with some sense of what historically the
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,seizing,1,853,862,investing,quarter our strategy of investing in high margin businesses
31,2020-04-23 09:30:00,NYSE,2020-Q2,HZO,seizing,2,4877,4886,invested,tools that we ve invested in that brett mentioned
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,1,1600,1609,investing,channel offering and are investing in robust plans for
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,2,1757,1766,investing,the gross margin and investing in marketing to drive
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,3,2542,2551,invested,to date we have invested million in capital primarily
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,4,3416,3425,invest,mean and flexibility to invest in opportunities that will
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,5,5937,5946,invest,basically stopped all capital invest and so we knew
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,6,5961,5970,investing,on obviously we re investing in our new locations
32,2021-02-17 08:30:00,NYSE,2021-Q3,LZB,seizing,7,5999,6008,investing,paused there we are investing in our retail stores
33,2021-02-25 10:30:00,NYSE,2020-Q4,USPH,sensing,1,333,342,shape,one piece and good shape if that was possible
33,2021-02-25 10:30:00,NYSE,2020-Q4,USPH,sensing,2,4252,4261,shape,it really in good shape so again i think
33,2021-02-25 10:30:00,NYSE,2020-Q4,USPH,sensing,3,4641,4650,shape,in a little better shape lawrence scott solow cjs
33,2021-02-25 10:30:00,NYSE,2020-Q4,USPH,sensing,4,6883,6892,sense,do you have any sense like currently or in
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,1,4870,4879,sense,first is the overall sense of a dose response
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,2,5744,5753,sense,closer to it my sense is that we re
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,3,5757,5766,sense,binary event in the sense that one day we
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,4,5871,5880,sense,then to get a sense that the vaccine is
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,5,7667,7676,shape,find every way to shape a deal process without
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,6,9468,9477,sense,the allocation that makes sense for the country alec
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,7,9785,9794,sense,able to have a sense of the cases and
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,8,10161,10170,sense,where it actually makes sense to run many vaccines
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,9,10534,10543,sense,of data that makes sense and is complete and
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,10,10834,10843,sense,the stop lane my sense is very few of
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,sensing,11,11426,11435,shape,most that will take shape over the coming weeks
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,1,491,500,invest,want to scale and invest and exploratory comodalities that
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,2,568,577,investing,safely we spent years investing and developing mrna science
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,3,703,712,invest,modalities and continue to invest aggressively in early research
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,4,1389,1398,invest,billion of capital to invest to create value and
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,5,3393,3402,investing,supplies we are also investing in preparedness for the
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,6,3502,3511,invest,funding we have to invest and create value we
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,7,3604,3613,invest,a strong ability to invest for the long run
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,8,3763,3772,invested,to come we ve invested heavily in the platform
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,9,3805,3814,invest,enable the company to invest appropriately in the business
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,10,4355,4364,invest,up to billion to invest in the business and
34,2020-05-09 20:30:00,NASDAQ,2020-Q1,MRNA,seizing,11,4438,4447,investing,the company we re investing in the processes to
